% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	2.35579e+07
0.041	2	2	1	2.35579e+07
0.081	1	1	1	2.35579e+07
0.081	2	2	1	2.35579e+07
0.121	1	1	1	2.35579e+07
0.121	2	2	1	2.35579e+07
0.161	1	1	1	2.35579e+07
0.161	2	2	1	2.35579e+07
0.201	1	1	1	2.35579e+07
0.201	2	2	1	2.35579e+07
0.241	1	1	1	2.35579e+07
0.241	2	2	1	2.35579e+07
0.281	1	1	1	2.35579e+07
0.281	2	2	1	2.35579e+07
0.321	1	1	1	2.35579e+07
0.321	2	2	1	2.35579e+07
0.361	1	1	1	2.35579e+07
0.361	2	2	1	2.35579e+07
0.401	1	1	1	2.35579e+07
0.401	2	2	1	2.35579e+07
0.441	1	1	1	2.35579e+07
0.441	2	2	1	2.35579e+07
0.481	1	1	1	2.35579e+07
0.481	2	2	1	2.35579e+07
0.521	1	1	1	2.35579e+07
0.521	2	2	1	2.35579e+07
0.561	1	1	1	2.35579e+07
0.561	2	2	1	2.35579e+07
0.601	1	1	1	2.35579e+07
0.601	2	2	1	2.35579e+07
0.641	1	1	1	2.35579e+07
0.641	2	2	1	2.35579e+07
0.681	1	1	1	2.35579e+07
0.681	2	2	1	2.35579e+07
0.721	1	1	1	2.35579e+07
0.721	2	2	1	2.35579e+07
0.761	1	1	1	2.35579e+07
0.761	2	2	1	2.35579e+07
0.801	1	1	1	2.35579e+07
0.801	2	2	1	2.35579e+07
0.841	1	1	1	2.35579e+07
0.841	2	2	1	2.35579e+07
0.881	1	1	1	2.35579e+07
0.881	2	2	1	2.35579e+07
0.921	1	1	1	2.35579e+07
0.921	2	2	1	2.35579e+07
0.961	1	1	1	2.35579e+07
0.961	2	2	1	2.35579e+07
1.001	1	1	1	2.35579e+07
1.001	2	2	1	2.35579e+07
1.041	1	1	1	2.35579e+07
1.041	2	2	1	2.35579e+07
1.081	1	1	1	2.35579e+07
1.081	2	2	1	2.35579e+07
1.121	1	1	1	2.35579e+07
1.121	2	2	1	2.35579e+07
1.161	1	1	1	2.35579e+07
1.161	2	2	1	2.35579e+07
1.201	1	1	1	2.35579e+07
1.201	2	2	1	2.35579e+07
1.241	1	1	1	2.35579e+07
1.241	2	2	1	2.35579e+07
1.281	1	1	1	2.35579e+07
1.281	2	2	1	2.35579e+07
1.321	1	1	1	2.35579e+07
1.321	2	2	1	2.35579e+07
1.361	1	1	1	2.35579e+07
1.361	2	2	1	2.35579e+07
1.401	1	1	1	2.35579e+07
1.401	2	2	1	2.35579e+07
1.441	1	1	1	2.35579e+07
1.441	2	2	1	2.35579e+07
1.481	1	1	1	2.35579e+07
1.481	2	2	1	2.35579e+07
1.521	1	1	1	2.35579e+07
1.521	2	2	1	2.35579e+07
1.561	1	1	1	2.35579e+07
1.561	2	2	1	2.35579e+07
1.601	1	1	1	2.35579e+07
1.601	2	2	1	2.35579e+07
1.641	1	1	1	2.35579e+07
1.641	2	2	1	2.35579e+07
1.681	1	1	1	2.35579e+07
1.681	2	2	1	2.35579e+07
1.721	1	1	1	2.35579e+07
1.721	2	2	1	2.35579e+07
1.761	1	1	1	2.35579e+07
1.761	2	2	1	2.35579e+07
1.801	1	1	1	2.35579e+07
1.801	2	2	1	2.35579e+07
1.841	1	1	1	2.35579e+07
1.841	2	2	1	2.35579e+07
1.881	1	1	1	2.35579e+07
1.881	2	2	1	2.35579e+07
1.921	1	1	1	2.35579e+07
1.921	2	2	1	2.35579e+07
1.961	1	1	1	2.35579e+07
1.961	2	2	1	2.35579e+07
2.001	1	1	1	2.35579e+07
2.001	2	2	1	2.35579e+07
2.041	1	1	1	2.35579e+07
2.041	2	2	1	2.35579e+07
2.081	1	1	1	2.35579e+07
2.081	2	2	1	2.35579e+07
